result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
0-1,-11,20,0,10
0-1,-1,43,-30,-50
0-1,2,5,-10,-10
0-1,1,35,10,10
0-1,-8,7,0,-10
0-1,-1,25,-10,-20
0-1,-1,12,-20,-30
0-1,-1,4,-10,-20
0-1,-18,0,-10,-20
1-0,2,35,0,-20
1-0,7,0,0,-10
1-0,5,36,10,20
1-0,2,5,0,30
1-0,3,21,-10,-10
1-0,5,44,0,-30
1-0,10,27,0,-20
0-1,1,33,10,20
0-1,-1,46,0,10
0-1,-8,40,-10,-30
0-1,-9,18,0,-10
0-1,2,25,0,30
0-1,-2,6,10,20
1-0,1,18,0,20
1-0,-2,3,10,20
1-0,-11,29,0,0
1-0,-3,14,0,-10
0-1,3,41,-10,-30
0-1,3,35,-10,0
0-1,8,22,0,0
0-1,-1,27,0,-20
0-1,-1,15,0,-20
1-0,-1,44,20,20
1-0,2,0,0,10
0-1,2,32,30,20
0-1,-9,28,-10,-10
0-1,1,28,10,10
0-1,1,52,20,30
0-1,-8,0,10,10
0-1,1,28,0,30
0-1,7,32,0,10
1-0,-1,27,0,0
1-0,-2,36,-10,-20
1-0,9,0,-10,-40
0-1,-3,28,-10,-10
0-1,-4,32,20,10
0-1,-7,45,20,30
0-1,-11,52,10,20
0-1,-12,0,10,30
1-0,5,2,-20,-40
1-0,8,3,-20,-40
1-0,3,26,10,30
1-0,5,13,0,30
1-0,5,7,10,30
1-0,13,6,10,50
1-0,21,0,0,30
0-1,2,36,-10,0
0-1,2,42,10,10
0-1,9,23,20,20
0-1,9,38,20,10
0-1,-10,19,0,-10
1-0,1,45,0,20
1-0,15,28,20,10
1-0,20,0,20,40
0-1,-1,34,20,20
0-1,-5,0,10,10
1-0,1,44,-10,20
1-0,1,53,10,10
0-1,-8,54,0,-20
0-1,-9,49,-10,-20
0-1,-1,45,-10,10
0-1,-2,1,-10,-20
1/2-1/2,1,35,0,-10
1/2-1/2,2,5,10,20
1/2-1/2,4,12,10,20
1/2-1/2,4,3,10,10
0-1,-1,39,0,0
0-1,-1,34,-10,-10
0-1,-1,28,-10,-20
0-1,-7,22,0,10
0-1,-7,13,0,10
1-0,1,24,-10,0
1-0,10,0,0,10
1-0,-1,27,-10,-10
1-0,-1,14,-10,-10
1-0,1,13,-10,-20
1-0,3,4,-20,-10
1-0,13,7,0,20
1-0,14,3,0,30
1-0,22,0,0,30
1-0,1,31,10,10
1-0,-1,42,10,30
1-0,1,39,20,30
1-0,1,28,10,-10
1-0,1,19,10,0
1-0,1,11,10,10
1-0,2,4,10,40
1/2-1/2,-4,37,-10,-30
1/2-1/2,-3,17,0,0
1/2-1/2,-5,6,0,0
0-1,-2,30,-10,-10
0-1,3,9,-10,0
0-1,1,6,0,-10
0-1,-1,3,0,-30
1-0,10,19,0,-10
1-0,9,3,0,0
1-0,8,28,10,30
0-1,1,37,0,-10
0-1,3,30,-10,10
0-1,2,50,10,-20
0-1,-3,6,0,0
0-1,-3,31,10,10
0-1,1,46,10,10
0-1,1,28,-10,-10
0-1,1,12,0,-10
0-1,1,16,0,-10
0-1,-1,41,0,-10
0-1,-4,55,10,10
0-1,4,29,-10,0
0-1,-2,35,0,0
1-0,1,35,10,20
1-0,5,27,0,-10
1-0,5,22,10,10
1-0,6,24,0,10
0-1,2,37,10,0
0-1,1,5,0,20
0-1,-8,6,0,0
1-0,1,32,0,-20
1-0,6,33,-10,-10
1-0,8,33,0,-20
1-0,9,0,0,-20
1-0,3,34,10,10
0-1,3,30,20,20
0-1,1,33,0,0
0-1,5,25,10,20
0-1,-1,7,0,0
0-1,8,2,10,0
0-1,9,33,10,30
1-0,16,3,0,10
1-0,15,0,0,0
1-0,4,38,10,0
1-0,6,13,10,10
1-0,1,34,20,10
1-0,4,25,10,10
0-1,-2,33,0,0
0-1,-10,0,0,-10
0-1,-2,45,0,-10
0-1,-13,1,0,-10
1/2-1/2,1,33,-10,0
1/2-1/2,2,23,-10,-10
1/2-1/2,4,26,0,-10
1/2-1/2,2,10,10,30
1/2-1/2,2,5,0,30
1/2-1/2,-2,16,-10,-10
1/2-1/2,-2,6,-10,-10
1-0,-1,24,10,10
1-0,1,15,-10,-20
1-0,1,23,0,0
1-0,6,29,10,20
1-0,14,0,10,10
0-1,1,3,10,0
0-1,-10,24,10,0
0-1,-2,52,10,-20
0-1,-12,0,0,10
0-1,7,34,-20,-10
0-1,-3,32,-20,-20
0-1,-2,29,-10,-20
0-1,-3,1,0,-10
1-0,-1,45,20,0
1-0,-1,26,10,10
1-0,-1,26,-10,-20
1-0,4,0,-10,-20
1-0,6,27,0,-10
1-0,5,4,0,0
1-0,21,3,10,30
1-0,21,0,10,10
1-0,2,47,0,-10
1-0,11,33,10,40
1-0,12,0,0,30
1-0,1,38,-10,-30
1-0,4,31,-10,-20
0-1,-1,37,0,-10
0-1,-5,50,0,-20
0-1,-6,21,0,-10
0-1,-12,22,-10,-40
0-1,-20,0,-10,-20
0-1,-1,33,-10,-30
0-1,-4,32,-20,-30
0-1,-6,26,-10,-30
0-1,-4,22,-10,-20
1-0,1,37,10,0
1-0,-1,23,20,40
1-0,5,20,10,30
1-0,5,5,10,10
1-0,13,5,10,0
1/2-1/2,1,38,20,20
1/2-1/2,1,20,0,10
1/2-1/2,1,17,10,-10
1/2-1/2,2,20,0,20
1/2-1/2,2,11,10,10
1/2-1/2,2,13,0,0
0-1,8,28,0,0
0-1,-2,22,10,0
0-1,-2,19,0,-20
0-1,-4,4,0,0
1-0,1,32,-10,0
1-0,4,30,20,30
0-1,-2,42,0,-20
0-1,-7,32,0,-10
0-1,-3,41,-20,0
0-1,-5,0,0,10
1-0,3,4,10,20
1-0,1,25,0,0
1-0,-3,38,10,30
1-0,-7,6,-10,10
1-0,7,8,0,10
1-0,5,4,-10,0
0-1,4,36,-10,0
0-1,2,29,10,20
0-1,4,4,0,10
0-1,6,16,0,0
0-1,6,25,0,-10
0-1,-1,29,0,10
0-1,-1,43,-10,-20
0-1,-2,29,-10,-20
0-1,-7,1,-10,-20
1-0,4,28,10,0
1-0,7,23,0,0
0-1,-5,32,0,-10
0-1,-9,23,0,-10
0-1,-1,35,0,-20
0-1,-8,13,0,-10
0-1,-1,26,10,40
0-1,3,45,0,20
1-0,7,4,10,10
1-0,1,14,0,-20
1-0,1,13,-20,-20
1-0,8,5,-20,-20
1-0,8,4,0,0
1-0,1,43,30,20
0-1,-3,43,0,0
0-1,1,40,20,0
0-1,2,33,30,30
0-1,2,0,30,30
1-0,-1,37,0,0
1-0,5,2,0,20
1-0,5,0,0,10
1-0,1,34,0,20
1-0,1,19,0,20
1-0,2,15,0,-10
1-0,2,17,0,-10
0-1,3,39,0,-10
0-1,5,30,-10,-20
0-1,7,27,20,20
0-1,17,0,0,10
1-0,-2,42,-30,-20
1-0,1,39,-20,0
1-0,2,17,0,-10
0-1,-2,34,0,10
0-1,-3,0,0,0
0-1,1,37,0,10
0-1,1,37,10,0
0-1,-2,21,-30,-30
0-1,-1,35,0,-10
0-1,-1,35,-10,-10
0-1,-2,38,-10,-10
1-0,1,30,0,-10
0-1,-3,36,0,0
0-1,1,36,10,20
0-1,1,32,10,0
0-1,-1,32,10,0
0-1,-2,32,0,0
0-1,-3,0,0,-10
0-1,7,27,0,0
0-1,1,37,0,0
0-1,-3,33,0,30
0-1,-4,33,10,20
0-1,-4,33,0,10
0-1,-3,26,0,0
0-1,1,35,-10,-20
0-1,-8,35,0,0
0-1,-17,44,0,0
0-1,-18,0,0,0
0-1,1,39,10,30
0-1,1,29,10,30
0-1,-1,17,0,-20
1-0,2,37,0,-10
1-0,3,30,-10,0
1-0,1,6,-10,-20
1-0,6,2,0,0
1-0,1,4,0,10
1-0,1,4,-10,10
1-0,2,4,0,10
1-0,2,2,0,10
1-0,4,35,20,40
1-0,1,0,0,10
1-0,4,6,-10,-10
1-0,15,3,0,-20
0-1,-1,32,0,0
0-1,-1,23,0,-20
0-1,-6,44,-20,-10
0-1,-15,9,-20,-20
0-1,1,27,10,10
0-1,2,43,10,-10
0-1,1,4,-10,-20
0-1,-6,40,-10,-20
0-1,-13,7,0,0
1-0,11,23,0,10
1-0,16,42,-10,10
0-1,1,37,20,20
0-1,2,34,20,30
0-1,8,28,20,0
0-1,3,28,20,40
0-1,7,2,0,30
0-1,2,31,0,30
0-1,-3,36,0,0
0-1,1,30,0,0
0-1,-5,1,0,-10
0-1,1,49,0,0
0-1,4,41,-10,-10
0-1,10,42,-10,-40
1-0,-1,40,0,0
1-0,-4,19,-10,-10
1-0,-4,19,0,-20
1-0,5,0,0,-10
0-1,3,26,-10,10
0-1,4,14,10,10
0-1,1,8,0,0
0-1,-1,44,-10,-20
0-1,-13,56,-10,-40
1-0,-2,32,-10,0
1-0,3,31,10,20
1-0,1,41,0,-10
1-0,9,40,0,0
1-0,13,14,0,0
1-0,1,32,0,-10
1-0,1,3,-10,-40
1-0,3,3,0,20
1-0,2,18,0,0
1-0,2,13,0,-10
1-0,-1,26,10,0
1-0,-2,27,-10,0
1-0,-6,22,-10,-40
1-0,1,8,-20,-40
1-0,1,6,-20,-50
0-1,-1,28,20,10
0-1,-2,42,20,10
0-1,-10,11,10,0
1-0,1,33,10,10
1-0,3,33,0,20
1-0,3,29,0,20
1-0,1,25,0,0
1-0,8,34,0,0
0-1,-3,40,-10,-20
0-1,-6,25,0,-30
1-0,3,37,-10,20
1-0,2,36,-10,20
1-0,2,30,0,40
0-1,3,29,-10,-10
0-1,-6,41,-10,-30
0-1,-7,37,-10,-10
0-1,-7,1,-20,-10
1-0,1,35,10,30
1-0,1,36,10,10
1-0,1,14,0,10
1-0,6,1,0,0
1-0,6,0,0,0
1-0,3,32,10,10
1-0,-5,34,0,0
1-0,-1,3,0,20
1-0,5,17,0,10
1-0,10,6,-10,-10
0-1,-9,22,-10,-30
1-0,-3,43,10,10
1-0,-3,40,10,10
1-0,-4,35,0,0
1-0,-4,35,0,0
1-0,-1,34,0,10
1-0,-1,34,-10,-10
1/2-1/2,3,35,-10,-10
0-1,2,31,0,-30
0-1,2,2,0,-20
0-1,2,23,-20,-10
0-1,-6,6,0,-10
1-0,-1,1,10,0
0-1,9,2,0,20
0-1,2,24,10,10
0-1,2,29,10,10
1-0,-1,27,10,0
1-0,2,6,0,10
1-0,4,15,0,10
1-0,2,3,0,40
1-0,11,2,0,40
1-0,-6,33,0,0
1-0,-6,45,10,0
1-0,3,28,0,0
1-0,3,43,0,10
1-0,-1,24,10,30
1-0,1,46,-20,-20
1-0,2,31,0,10
1-0,5,37,-10,10
1-0,3,25,-20,0
1-0,-3,38,10,10
1-0,-6,0,10,-10
1-0,8,1,-10,-20
0-1,-4,42,-10,-20
0-1,-7,33,-10,-20
0-1,-8,0,-10,-10
1-0,-1,42,10,30
1-0,5,40,0,10
1-0,6,29,0,20
1-0,9,18,0,40
1-0,3,32,0,0
1-0,1,27,0,10
1-0,2,2,0,0
1-0,10,1,0,-10
0-1,1,17,10,10
0-1,1,14,10,20
0-1,1,30,20,40
0-1,1,34,0,10
0-1,7,21,-10,0
0-1,5,9,-10,-20
0-1,10,28,-10,-20
1-0,1,40,0,-10
1-0,3,26,0,-10
0-1,-9,23,-30,-10
0-1,-1,14,0,10
0-1,1,44,10,10
0-1,3,30,20,30
0-1,4,37,0,20
0-1,-10,42,-10,10
0-1,-15,0,0,-10
1-0,-1,45,0,0
1-0,-9,0,0,0
1-0,-1,41,0,-10
1-0,10,37,0,-10
1-0,-1,34,0,10
1-0,6,20,-10,-10
1-0,3,31,-10,0
0-1,2,30,10,0
0-1,-12,28,-10,-30
0-1,-12,31,0,-10
0-1,-12,3,0,-10
1-0,3,35,-10,0
1-0,1,6,0,20
1-0,1,32,20,20
1-0,1,38,0,20
1-0,2,0,0,10
1/2-1/2,1,39,20,40
1/2-1/2,7,23,0,0
0-1,-9,17,-10,-10
1-0,5,26,0,0
1-0,5,35,0,0
1-0,-4,34,0,0
1-0,-1,0,10,10
1-0,-1,44,0,0
1-0,4,33,-20,20
1-0,12,4,20,30
1-0,1,34,20,20
1-0,1,31,20,30
1-0,-9,6,0,-10
1-0,-9,34,0,-10
1-0,2,3,0,-10
1-0,1,40,0,20
1-0,1,32,10,0
1-0,1,29,10,10
1-0,1,34,10,20
0-1,-2,43,0,0
1-0,3,37,10,10
1-0,-1,1,10,0
0-1,-7,2,0,-20
0-1,-4,3,0,-10
0-1,-3,28,0,-10
0-1,-3,27,0,-10
0-1,-5,4,0,-10
0-1,-5,0,0,-20
1-0,7,12,0,-10
1-0,4,7,0,0
1-0,1,30,10,20
1-0,3,33,-10,-10
1-0,1,37,10,20
1-0,2,30,10,20
1-0,2,11,0,20
1-0,2,14,0,20
0-1,1,1,0,10
0-1,-3,37,10,0
0-1,-6,25,-10,-30
0-1,-5,4,-10,-20
1-0,-3,33,10,20
1-0,6,5,0,20
1-0,7,2,0,0
1-0,6,0,0,-10
0-1,2,2,0,-10
0-1,10,3,10,-10
0-1,15,54,0,-10
0-1,-6,49,10,-20
0-1,-16,16,-10,-20
1-0,1,30,10,0
1-0,-2,46,0,20
1-0,-9,37,0,20
1-0,15,24,10,10
1-0,-1,34,0,-10
1-0,-4,0,0,10
1-0,-1,32,-10,-20
1-0,7,24,-10,-20
1-0,9,2,-10,-10
1-0,2,27,0,0
1-0,5,20,0,10
0-1,-2,41,-30,-20
0-1,-4,11,0,0
1-0,3,36,10,10
1-0,-3,29,0,10
1-0,-3,31,0,-20
1-0,-7,19,10,-10
1-0,-8,30,0,-10
1-0,-8,20,10,0
0-1,1,33,10,20
0-1,-1,38,0,20
0-1,-7,28,10,20
0-1,-1,33,10,10
0-1,-3,46,0,-10
0-1,-3,44,-20,-20
0-1,-1,6,10,10
0-1,-1,6,0,10
0-1,1,46,10,10
0-1,-2,48,10,0
0-1,-8,34,10,20
0-1,3,33,-10,-10
0-1,1,29,0,10
0-1,-2,18,-10,-20
0-1,-2,16,0,0
1-0,1,32,30,40
1-0,1,27,10,20
1-0,-3,0,10,0
1-0,3,29,10,20
1-0,2,47,0,-10
1-0,3,3,0,0
0-1,-3,36,-10,-20
0-1,-4,50,-10,10
0-1,-9,39,-20,-30
0-1,-8,26,0,0
1-0,3,35,10,0
1-0,12,5,0,-10
1-0,19,0,10,10
1-0,1,21,20,10
1-0,4,14,10,0
1-0,8,14,-10,-20
1-0,8,42,-10,-30
0-1,-5,20,-20,-20
0-1,-6,18,-10,-20
1-0,1,21,-10,0
1-0,10,26,10,30
1-0,9,24,10,20
1-0,1,34,0,10
1-0,3,30,-10,0
1-0,1,31,-20,-10
1-0,3,15,-20,-30
1-0,5,7,0,-30
0-1,-7,35,10,10
0-1,1,32,10,-10
0-1,-6,45,0,10
0-1,-8,40,-10,0
0-1,-13,0,0,20
1/2-1/2,1,26,0,20
1/2-1/2,2,26,-10,-30
1/2-1/2,3,19,0,10
1/2-1/2,4,16,0,0
1/2-1/2,1,24,0,-10
1/2-1/2,-8,0,0,-10
1-0,1,0,0,0
0-1,4,0,10,20
0-1,-1,38,0,10
0-1,1,7,0,0
0-1,-2,13,0,0
0-1,-1,8,0,0
0-1,-2,5,0,-10
1-0,1,36,0,20
1-0,4,26,0,-10
1-0,1,27,0,-20
1-0,1,5,0,-20
1-0,1,46,30,20
1-0,1,32,0,10
1-0,5,35,-10,-20
1-0,-1,26,10,-10
1-0,-1,1,10,-10
0-1,-2,39,0,-20
0-1,-2,34,10,20
0-1,-3,6,-10,10
0-1,1,36,0,10
0-1,-1,7,-20,-40
0-1,-1,26,-20,-40
0-1,4,23,-30,-40
0-1,-1,17,-20,-20
0-1,-4,18,0,-20
0-1,-12,0,0,-20
0-1,2,34,-10,10
0-1,-4,35,-20,-10
0-1,-2,50,-10,-10
0-1,-6,50,20,10
0-1,-3,39,0,-10
0-1,-10,24,-10,-30
0-1,-10,0,0,-30
0-1,1,52,-10,0
0-1,-3,43,0,-10
0-1,-5,33,0,10
0-1,-7,24,0,0
0-1,-7,11,0,-10
1-0,1,35,10,20
1-0,3,26,-10,10
1-0,6,5,-10,0
1-0,14,5,0,20
1-0,13,0,10,20
1-0,-1,30,0,10
1-0,-1,32,0,0
1-0,7,17,0,50
1-0,10,19,0,40
1-0,3,6,10,30
1-0,11,0,0,30
1-0,4,31,10,20
1-0,4,1,-10,-10
1-0,1,31,-20,-10
1-0,5,34,-10,-20
1-0,6,31,10,10
1-0,1,28,20,10
1-0,6,34,10,0
1-0,9,9,0,10
1-0,9,2,0,10
1-0,1,41,-10,-10
1-0,1,17,0,10
1-0,3,32,20,40
0-1,-2,36,-10,0
0-1,-8,1,-10,20
1-0,4,40,-10,0
1-0,4,30,0,10
1-0,20,1,0,10
1-0,8,7,0,0
1-0,2,29,10,20
1-0,2,40,10,10
1-0,2,10,0,-10
1-0,3,11,-10,-20
0-1,2,41,0,20
0-1,2,35,0,30
0-1,-1,27,-10,-20
0-1,-1,30,0,10
0-1,1,5,-20,0
0-1,1,39,10,30
0-1,1,42,10,10
0-1,1,39,0,-30
0-1,1,34,0,-20
1/2-1/2,1,25,0,10
1/2-1/2,-1,20,-10,0
1/2-1/2,-1,5,0,0
1/2-1/2,-9,22,0,10
0-1,6,31,0,-20
0-1,6,1,10,-20
0-1,7,20,10,-10
1/2-1/2,1,23,0,-20
1/2-1/2,1,20,0,-30
1/2-1/2,1,16,0,-10
1/2-1/2,-4,29,0,-10
1-0,-2,42,0,10
1-0,-1,26,0,30
1-0,-1,24,0,30
1-0,6,9,10,10
0-1,-1,30,10,10
0-1,-6,27,10,10
0-1,-5,4,-10,-30
0-1,-7,22,-20,-40
0-1,-6,21,-10,-50
0-1,-5,9,10,-10
0-1,-22,50,10,10
0-1,-30,76,-10,-30
0-1,-30,0,0,-20
1-0,-3,4,10,-10
1-0,5,31,10,10
1-0,1,31,10,10
1-0,-5,27,10,20
1-0,-5,4,0,10
0-1,-5,23,20,20
0-1,3,20,0,10
0-1,-1,25,10,10
0-1,-1,5,0,0
0-1,-1,9,10,-10
0-1,-1,2,0,-20
0-1,-1,34,-20,-20
0-1,-2,30,-10,0
0-1,-4,27,0,0
0-1,-4,35,-10,-10
0-1,-6,0,0,-10
1-0,2,34,10,10
1-0,3,38,10,30
1-0,3,40,10,20
1/2-1/2,3,41,10,10
1/2-1/2,2,30,0,10
1/2-1/2,2,34,10,30
1/2-1/2,-5,19,10,10
1/2-1/2,-5,18,0,0
1/2-1/2,-5,16,-20,-10
1/2-1/2,-5,19,-20,-10
0-1,-9,33,0,-10
0-1,-9,3,0,-10
0-1,-1,46,-10,-10
0-1,-4,32,0,10
0-1,1,55,-10,-20
1-0,8,28,0,10
0-1,-4,27,10,10
0-1,-4,5,10,10
1-0,1,0,10,10
0-1,-4,50,-20,-20
0-1,-13,18,-20,-20
0-1,-6,43,0,10
0-1,-10,39,0,-10
0-1,-14,40,0,0
0-1,-22,0,0,-10
1-0,-3,28,0,-10
1-0,-3,32,0,-10
1-0,4,34,0,0
1-0,2,48,20,0
1-0,2,3,10,0
0-1,-3,39,-10,10
0-1,-3,40,0,10
0-1,-2,32,20,40
0-1,-4,36,-10,0
0-1,-10,29,-20,-20
0-1,-15,0,-10,-20
0-1,-2,38,0,0
0-1,3,20,0,0
0-1,-2,25,10,-30
0-1,-8,6,0,-20
0-1,-3,42,0,-10
0-1,-3,1,0,10
1-0,1,31,10,10
1-0,1,31,10,10
1/2-1/2,1,16,-10,-30
1/2-1/2,-1,14,0,-10
1/2-1/2,1,8,0,0
1/2-1/2,1,6,10,10
1/2-1/2,1,5,0,-10
1/2-1/2,1,9,0,0
0-1,2,36,10,0
0-1,-2,25,-10,-40
0-1,1,6,0,20
0-1,-6,46,0,0
0-1,-11,3,0,10
1/2-1/2,1,19,20,10
1/2-1/2,2,31,0,10
1/2-1/2,3,16,10,0
1/2-1/2,-2,10,0,20
1/2-1/2,-1,9,10,10
1/2-1/2,-3,6,10,10
1-0,-1,35,0,-20
1-0,1,29,10,30
1-0,1,0,0,20
0-1,-3,37,-10,-40
1-0,3,4,-20,-10
1-0,13,5,-10,0
0-1,2,0,0,10
1-0,3,48,-10,-30
1-0,7,40,0,10
1-0,1,33,10,-10
1-0,-2,32,0,-10
0-1,1,46,30,40
0-1,-1,4,30,60
0-1,-3,29,10,10
0-1,-4,19,-10,-20
0-1,-5,15,0,-20
0-1,-14,30,0,-10
0-1,-22,0,0,-10
1-0,5,29,0,-20
1-0,6,1,-10,-10
1-0,9,3,0,10
1-0,14,33,0,10
0-1,-9,39,0,0
0-1,-9,0,0,20
1-0,5,17,10,0
0-1,3,38,-10,0
0-1,-5,43,0,20
0-1,-2,31,10,0
0-1,-7,32,-20,-20
0-1,-12,28,-10,-30
0-1,-12,5,-10,-40
0-1,-3,35,10,0
0-1,-7,2,10,20
0-1,1,29,10,10
0-1,1,40,0,-10
0-1,-10,13,10,-10
1-0,1,2,0,30
1-0,2,0,0,20
1-0,1,38,10,20
1-0,11,5,0,-10
1-0,18,2,0,0
1-0,18,10,10,10
1-0,-6,27,10,20
1-0,1,31,10,20
1-0,2,30,10,20
1-0,2,22,10,20
1-0,5,6,0,0
1-0,3,3,-10,10
1-0,5,5,0,10
1-0,9,22,0,10
1-0,18,0,-10,10
0-1,-2,45,-20,0
0-1,-1,49,-10,-20
0-1,-8,2,10,10
0-1,-1,35,10,20
0-1,1,2,10,20
0-1,-3,35,0,0
0-1,2,29,0,0
0-1,2,25,-10,-20
0-1,16,33,10,-20
1-0,3,22,0,10
0-1,-3,25,20,10
0-1,-4,28,-10,-20
0-1,-11,30,10,0
1-0,2,4,20,30
1-0,7,20,20,20
1-0,3,24,10,20
1-0,5,0,10,10
1-0,7,0,-10,0
0-1,3,38,0,10
0-1,3,17,-10,-10
0-1,3,0,10,10
0-1,3,30,10,0
0-1,4,28,10,0
1-0,5,4,0,0
1-0,3,14,-10,-10
1-0,4,14,-10,-10
0-1,-1,34,-10,-10
0-1,-3,38,10,10
0-1,-3,3,10,-10
1-0,1,35,10,0
1-0,1,41,20,10
1-0,4,42,20,20
1-0,5,26,10,20
1-0,11,5,20,20
0-1,6,29,10,30
0-1,3,23,10,20
0-1,-7,7,0,0
0-1,-14,44,0,-10
0-1,-14,0,0,0
1-0,1,28,0,10
1-0,2,33,20,30
1-0,7,0,0,10
0-1,4,3,10,20
0-1,-1,28,20,20
0-1,-1,4,10,40
0-1,-1,4,10,20
0-1,-14,12,10,20
0-1,-2,33,10,-10
0-1,-2,32,0,-20
0-1,-2,13,0,-40
0-1,-2,17,-20,-20
0-1,-2,17,-10,-30
0-1,-2,16,-10,-20
1-0,1,22,0,20
1-0,2,9,0,30
1-0,1,9,0,0
1-0,1,11,0,10
0-1,-4,30,-10,-10
0-1,-5,34,-20,-10
0-1,-2,0,-10,0
0-1,-11,31,10,0
0-1,-12,35,-10,-10
0-1,-8,40,0,-10
0-1,-9,4,0,0
1-0,3,27,20,30
1-0,2,14,10,10
1-0,2,10,0,-10
1-0,1,0,-20,-10
1-0,2,34,-10,0
1-0,3,47,10,20
1-0,3,38,10,20
1-0,3,34,-10,0
1-0,2,35,-10,-20
1-0,13,0,0,-10
0-1,1,43,-10,20
0-1,-2,49,-10,-10
0-1,-6,33,0,0
0-1,-8,32,-10,0
1-0,2,41,-10,-20
1-0,5,44,-30,-20
0-1,4,33,10,50
0-1,-5,24,-20,10
0-1,3,35,20,10
0-1,2,41,20,30
0-1,4,29,20,10
0-1,-5,2,20,20
1-0,-1,37,-20,-10
1-0,-2,35,-10,0
1-0,4,35,10,10
1-0,9,10,0,-10
0-1,-3,38,20,0
0-1,-4,23,10,20
0-1,-5,30,0,20
0-1,-6,32,10,0
0-1,-15,43,0,-20
0-1,-16,0,-20,-20
0-1,-9,24,0,-10
1-0,-1,24,0,0
0-1,-6,38,0,10
0-1,3,34,10,20
0-1,14,29,10,20
0-1,5,32,-10,0
0-1,1,39,-20,-20
0-1,-1,24,10,20
0-1,-1,19,10,20
0-1,-4,20,0,10
0-1,-4,2,0,10
0-1,2,37,30,30
0-1,1,6,10,10
0-1,-3,28,-20,-20
0-1,-2,40,-10,0
0-1,-15,8,0,0
1-0,3,42,-20,-10
1-0,13,26,10,10
1-0,1,4,10,20
0-1,-2,33,-20,-40
0-1,-3,19,-10,-20
0-1,-3,35,-10,-10
0-1,-5,29,-20,-20
0-1,-5,28,-10,-30
1-0,5,29,10,10
1-0,-1,0,-10,0
1-0,1,0,0,0
1-0,5,4,10,0
0-1,-1,35,-20,-20
0-1,-1,34,10,10
0-1,2,24,0,0
0-1,-6,45,0,20
0-1,-7,0,0,20
0-1,-1,39,0,0
0-1,-6,36,20,10
0-1,-9,24,10,-10
1-0,3,33,20,40
1-0,3,33,10,10
1-0,21,12,0,20
1-0,12,3,0,10
1-0,1,45,0,0
1-0,5,26,0,20
0-1,4,42,0,-10
1-0,7,31,30,40
1-0,2,24,0,20
0-1,1,25,0,20
0-1,1,43,-10,-20
0-1,4,46,-10,0
0-1,3,0,-10,0
1-0,-1,29,0,-20
1-0,3,20,10,0
1-0,1,8,-10,10
1-0,1,7,10,0
0-1,3,48,0,-10
0-1,11,10,0,0
0-1,12,30,0,10
1-0,-1,4,0,-20
1-0,3,18,0,-20
1-0,3,17,0,-10
1-0,-7,4,10,10
1-0,-8,0,10,10
0-1,4,4,0,10
0-1,-1,2,0,0
1-0,1,27,10,0
1-0,1,34,0,-20
1-0,3,5,0,-10
1-0,3,3,-10,0
1-0,4,20,0,10
1-0,6,5,0,20
0-1,-2,38,10,10
0-1,1,31,10,20
0-1,6,30,0,30
0-1,4,14,10,20
0-1,4,14,10,20
0-1,2,5,0,-10
0-1,-14,47,0,-20
0-1,-14,0,0,-20
0-1,3,42,0,0
0-1,-4,26,0,0
0-1,-4,4,0,-10
0-1,1,31,0,-10
0-1,1,16,0,-10
0-1,1,4,0,30
0-1,-2,32,0,-10
1-0,-1,8,0,-10
1-0,1,35,10,20
1-0,8,47,20,10
1-0,6,30,0,0
1/2-1/2,1,46,0,-20
1/2-1/2,-2,1,0,0
1-0,-1,36,0,30
1-0,-1,43,0,10
1-0,3,37,20,40
1-0,-1,17,10,40
1-0,3,35,10,20
1-0,3,28,20,20
1-0,3,16,20,30
1-0,3,19,20,50
1-0,11,1,10,30
1/2-1/2,14,4,-10,-20
1/2-1/2,7,2,0,-40
1/2-1/2,6,19,0,-40
1/2-1/2,-4,33,-30,-60
1/2-1/2,4,33,-30,-50
0-1,-1,34,-10,-10
0-1,-10,5,0,0
1-0,12,24,0,30
1-0,18,3,0,20
1-0,-1,25,10,30
1-0,-1,35,10,10
1-0,-5,38,10,0
1-0,4,27,10,10
1-0,4,19,10,0
1-0,9,7,10,-20
1-0,18,0,10,0
1-0,-1,48,20,20
1-0,-1,36,20,20
1-0,-1,40,10,10
1-0,4,25,0,-30
0-1,-3,21,20,20
0-1,1,18,10,10
0-1,-5,18,10,20
0-1,-11,32,0,20
0-1,-12,2,0,0
0-1,-5,38,10,-20
0-1,-9,34,0,0
0-1,-11,32,-10,-20
0-1,-6,20,0,-20
0-1,-14,6,0,-20
0-1,-6,21,0,10
0-1,-6,28,-10,0
0-1,-7,23,-10,-10
0-1,-7,4,-10,-10
0-1,-21,0,-10,-30
0-1,-1,35,10,30
0-1,-3,31,-10,-20
0-1,-8,0,-10,-10
1-0,3,23,10,-20
1-0,4,21,20,20
1-0,3,13,0,-20
1-0,6,6,0,-20
1-0,-1,32,10,10
1-0,2,37,-10,0
1-0,6,3,-10,-10
0-1,-1,27,0,-10
0-1,-3,19,0,0
0-1,-3,9,-10,0
1-0,5,26,0,0
1-0,2,31,10,10
1-0,1,17,10,10
1-0,2,18,20,10
1-0,2,21,10,10
1-0,3,8,0,10
1-0,3,33,10,20
1-0,9,27,10,10
